,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
7,"368Ashley YoungEverton, 38, D(LR),M(LR)","Ashley Young Everton, 38, D(LR),M(LR)",19(1),1522,1.5,0.8,1.2,0.1,1.5,0.9,0.3,1,6.36
8,"369Auston TrustySheff Utd, 25, D(CL)","Auston Trusty Sheff Utd, 25, D(CL)",17(3),1593,1.8,0.8,0.6,0.5,4.7,0.8,0.7,-,6.35
9,"370Owen BeckLiverpool, 21, D(L),M(L)","Owen Beck Liverpool, 21, D(L),M(L)",0(1),7,2.0,-,-,-,-,-,-,-,6.35
0,"371Sasa KalajdzicWolves, 26, FW","Sasa Kalajdzic Wolves, 26, FW",1(10),159,0.5,0.1,0.5,-,0.5,0.1,-,-,6.35
1,"372Chris BashamSheff Utd, 35, D(CR),M(CR)","Chris Basham Sheff Utd, 35, D(CR),M(CR)",3(5),319,0.9,0.6,0.4,0.3,2.1,0.9,0.5,-,6.35
2,"373Mikkel DamsgaardBrentford, 23, AM(CL)","Mikkel Damsgaard Brentford, 23, AM(CL)",2(11),352,1.1,0.5,0.5,-,0.2,1.1,0.1,-,6.35
3,"374Wes FoderinghamSheff Utd, 33, GK","Wes Foderingham Sheff Utd, 33, GK",24(1),2198,0.1,-,-,-,0.8,-,-,1,6.34
4,"375BetoEverton, 26, FW","Beto Everton, 26, FW",6(16),676,0.5,-,0.8,-,0.4,0.3,-,-,6.34
5,"376Jack RobinsonSheff Utd, 30, D(CL),M(L)","Jack Robinson Sheff Utd, 30, D(CL),M(L)",23(2),2143,1.2,0.9,0.6,0.4,4.1,0.4,0.9,2,6.34
6,"377Michael KeaneEverton, 31, D(CR)","Michael Keane Everton, 31, D(CR)",4(3),404,1.0,0.7,0.6,0.4,2.6,0.7,0.6,-,6.33
7,"378Max AaronsBournemouth, 24, D(R)","Max Aarons Bournemouth, 24, D(R)",12(2),1084,2.0,0.4,0.8,0.2,1.2,0.8,0.4,-,6.33
8,"379Tommy DoyleWolves, 22, AM(C)","Tommy Doyle Wolves, 22, AM(C)",6(12),727,0.9,0.4,0.3,-,0.6,0.2,0.3,-,6.33
9,"380Matt DohertyWolves, 32, D(LR),M(LR)","Matt Doherty Wolves, 32, D(LR),M(LR)",3(17),572,0.7,0.2,0.5,-,1.0,0.3,0.1,-,6.33
0,"381Amad DialloMan Utd, 21, AM(CR)","Amad Diallo Man Utd, 21, AM(CR)",0(2),46,1.5,-,-,-,-,-,-,-,6.33
1,"382Armando BrojaChelsea, 22, FW","Armando Broja Chelsea, 22, FW",6(7),455,0.2,-,0.3,-,0.2,0.1,0.1,-,6.32
2,"383JorginhoArsenal, 32, DMC","Jorginho Arsenal, 32, DMC",6(10),594,1.0,0.4,0.3,-,0.3,0.6,0.1,-,6.32
3,"384Lloyd KellyBournemouth, 25, D(CL)","Lloyd Kelly Bournemouth, 25, D(CL)",12(2),1015,1.4,0.5,0.9,0.2,2.3,0.6,0.5,-,6.32
4,"385Anthony MartialMan Utd, 28, AM(LR),FW","Anthony Martial Man Utd, 28, AM(LR),FW",5(8),445,0.3,-,0.2,-,0.2,-,-,-,6.32
5,"386Carney ChukwuemekaChelsea, 20, AM(C)","Carney Chukwuemeka Chelsea, 20, AM(C)",2(3),170,0.4,-,0.4,-,-,0.2,0.2,-,6.32
6,"387Emile Smith RoweArsenal, 23, AM(CL)","Emile Smith Rowe Arsenal, 23, AM(CL)",2(8),230,0.3,0.1,0.4,-,-,0.2,0.1,-,6.32
7,"388Brennan JohnsonNottingham Forest, 22, AM(CLR),FW","Brennan Johnson Nottingham Forest, 22, AM(CLR),FW",3,240,1.3,-,0.3,-,-,0.7,0.3,-,6.32
8,"389Mahmoud DahoudBrighton, 28, M(C)","Mahmoud Dahoud Brighton, 28, M(C)",6(3),454,1.0,0.1,0.7,-,0.4,0.7,0.1,-,6.32
9,"390Aaron HickeyBrentford, 21, D(LR),M(LR)","Aaron Hickey Brentford, 21, D(LR),M(LR)",9,720,1.8,0.3,1.1,0.1,1.1,-,0.3,-,6.31
0,"391Aaron RamsdaleArsenal, 25, GK","Aaron Ramsdale Arsenal, 25, GK",5,450,-,-,-,-,0.6,-,-,-,6.31
1,"392Facundo PellistriMan Utd, 22, AM(R)","Facundo Pellistri Man Utd, 22, AM(R)",1(8),165,0.6,0.1,0.4,-,0.6,0.2,0.1,-,6.31
2,"393Emil KrafthNewcastle, 29, D(CR)","Emil Krafth Newcastle, 29, D(CR)",0(6),84,0.5,-,0.2,-,-,-,-,-,6.31
